cset: --> last message, executed args into cpuset "/user", new pid is: 3579655
No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
441967;2.37595;1.28838;1.73467
464028;2.42184;1.27526;1.76498
487192;2.47556;1.26619;1.79773
511514;2.54244;1.26139;1.83883
537052;2.61614;1.26135;1.88216
563866;2.69211;1.25703;1.9228
592020;2.77993;1.25601;1.9659
621581;2.86815;1.25482;2.01089
652620;2.96148;1.26137;2.05167
685210;3.059;1.26108;2.1147
719429;3.16039;1.27588;2.16795
755358;3.2677;1.27853;2.22765
793083;3.37352;2.01601;2.7596
832694;4.2287;2.00806;2.83067
874285;4.32306;1.99056;2.89357
917955;4.41783;1.97512;2.95779
963808;4.51623;1.9689;3.02434
1011953;4.60214;1.96129;3.08615
1062505;4.69134;1.95571;3.1465
1115584;4.77229;1.95689;3.20674
1171316;4.85911;1.96205;3.26343
1229834;4.94128;1.96034;3.32514
1291277;5.02959;1.96153;3.37532
1355792;5.10635;1.96405;3.42863
1423532;5.18663;1.97974;3.49623
1494659;5.26719;1.99881;3.55216
1569342;5.34383;2.00921;3.61154
1647759;6.41895;2.83247;4.2432
1730096;6.44442;2.80443;4.28119
1816549;6.48423;2.75906;4.31679
1907324;6.53962;2.73639;4.34983
2002637;6.57887;2.74225;4.36515
2102715;6.62468;2.72934;4.40611
2207796;6.66042;2.70163;4.40095
2318131;6.7003;2.69812;4.46762
2433982;6.73237;2.68515;4.46389
2555625;6.76818;2.68053;4.45713
2683350;6.81182;2.67271;4.52741
2817461;6.84396;2.67711;4.54816
2958277;6.88099;2.67231;4.56685
Runnning insertion, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;1.37973;0.775166;1.02467
10500;1.38042;0.773803;1.02254
11025;1.37325;0.777119;1.02037
11576;1.36796;0.777149;1.02156
12154;1.36488;0.76991;1.01969
12760;1.42502;0.817639;1.05323
13396;1.44561;0.858379;1.1055
14063;1.4523;0.855363;1.1144
14763;1.36667;0.777988;1.0273
15498;1.36777;0.779499;0.996313
16269;1.37268;0.861429;1.09733
17078;1.46142;0.853588;1.10045
17927;1.46418;0.852525;1.09955
18818;1.45347;0.853058;1.09995
19753;1.45273;0.850499;1.10318
20734;1.45577;0.850794;1.10292
21764;1.45685;0.845553;1.10667
22845;1.46403;0.851008;1.11435
23980;1.46365;0.851933;1.11435
25171;1.47225;0.847104;1.11859
26421;1.47515;0.851705;1.12335
27733;1.4885;0.86468;1.13549
29110;1.497;0.865804;1.14512
30555;1.50942;0.874002;1.15012
32072;1.51425;0.892634;1.1326
33664;1.53739;0.888772;1.13183
35335;1.53988;0.87266;1.13053
37089;1.54149;0.865763;1.13532
38930;1.54485;0.859384;1.13907
40863;1.54347;0.858638;1.14262
42892;1.55308;0.86102;1.14633
